"Year","D^ei(0.85)","D^ei(0.90)","D^ei(0.95)","D^ei(0.99)","D^elong(0.85)","D^elong(0.90)","D^elong(0.95)","D^elong(0.99)"
"1990",4,6,9,14,5,7,9,15
"1991",5,6,9,14,5,7,9,15
"1992",5,6,8,14,5,7,9,15
"1993",4,5,7,13,4,5,8,14
"1994",3,4,7,13,3,5,8,15
"1995",4,5,8,14,4,5,9,14
"1996",4,5,7,13,4,6,8,15
"1997",3,4,6,13,3,4,8,14
"1998",5,6,8,14,6,7,9,15
"1999",3,5,7,14,4,6,10,16
"2000",4,5,8,13,4,6,9,14
"2001",4,5,7,12,4,6,8,13
"2002",3,5,7,12,4,6,8,14
"2003",2,4,6,10,2,4,6,12
"2004",2,3,6,11,2,4,7,13
"2005",2,3,5,11,2,3,8,12
"2006",2,2,4,10,2,2,7,11
"2007",2,3,6,10,3,5,10,13
"2008",3,5,7,11,4,5,9,13
"2009",3,4,6,11,4,5,7,13
"2010",2,3,6,10,3,4,7,13
"2011",2,3,5,10,2,4,6,12
"2012",1,2,3,8,2,3,4,10
"2013",1,2,3,8,2,3,4,9
"2014",2,2,4,10,2,3,6,11
"2015",2,2,3,9,2,2,5,11
"2016",2,2,4,10,2,2,5,12
"2017",2,2,5,11,2,2,6,12
"2018",2,2,5,11,2,3,7,13
"2019",2,2,4,11,2,2,7,12
"2020",2,3,6,11,2,4,8,12
"2021",2,2,4,10,2,3,6,11
"2022",2,2,4,8,2,2,5,12
