"Model & truncation level (columns) \errors and meas.dims.(rows)","Model 1, l = ∞","Model 2, l = ∞","Model 3, l = 3","Model 3, l = 4","Model 3, l = 5","Model 4, l = 3","Model 4, l = 4","Model 4, l = 5"
"S.1-rel. err.","0.262 (0.235, 0.292)","0.276 (0.248, 0.307)","0.299 (0.261, 0.363)","0.367 (0.281, 0.562)","0.622 (0.325, 0.938)","0.343 (0.291, 0.429)","0.430 (0.320, 0.701)","0.681 (0.370, 0.995)"
"S.1-Dimension(0.85)","5.000 (5.000, 5.000)","5.000 (5.000, 6.000)","5.000 (5.000, 5.000)","5.000 (5.000, 5.000)","5.000 (5.000, 5.000)","5.000 (5.000, 6.000)","5.000 (5.000, 6.000)","5.000 (5.000, 5.000)"
"S.1-Dimension(0.90)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)"
"S.1-Dimension(0.95)","7.000 (7.000, 7.000)","8.000 (7.000, 8.000)","7.000 (7.000, 7.000)","7.000 (7.000, 7.000)","7.000 (7.000, 7.000)","8.000 (7.000, 8.000)","7.000 (7.000, 8.000)","7.000 (7.000, 8.000)"
"S.1-Dimension(0.99)","9.000 (9.000, 9.000)","10.000 (10.000, 11.000)","9.000 (9.000, 9.000)","9.000 (9.000, 9.000)","9.000 (9.000, 9.000)","11.000 (10.000, 11.000)","10.000 (10.000, 11.000)","10.000 (10.000, 11.000)"
"S.2-rel. err.","0.391 (0.374, 0.412)","0.394 (0.376, 0.415)","0.698 (0.574, 0.805)","0.758 (0.592, 0.852)","0.810 (0.644, 0.973)","0.700 (0.577, 0.798)","0.755 (0.593, 0.844)","0.793 (0.625, 0.959)"
"S.2-Dimension(0.85)","4.000 (3.000, 4.000)","4.000 (3.000, 4.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)"
"S.2-Dimension(0.90)","4.000 (4.000, 4.000)","4.000 (4.000, 4.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)"
"S.2-Dimension(0.95)","4.000 (4.000, 4.000)","4.000 (4.000, 4.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)"
"S.2-Dimension(0.99)","4.000 (4.000, 4.000)","4.000 (4.000, 4.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)","3.000 (2.000, 3.000)"
