"Model & truncation level (columns) \errors and meas.dims.(rows)","Model 1, l = ∞","Model 2, l = ∞","Model 3, l = 3","Model 3, l = 4","Model 3, l = 5","Model 4, l = 3","Model 4, l = 4","Model 4, l = 5"
"S.1-rel. err.","0.247 (0.219, 0.278)","0.266 (0.235, 0.300)","0.288 (0.244, 0.349)","0.329 (0.261, 0.501)","0.458 (0.284, 0.842)","0.374 (0.297, 0.517)","0.474 (0.330, 0.724)","0.613 (0.369, 1.116)"
"S.1-Dimension(0.85)","5.000 (5.000, 5.000)","5.000 (5.000, 5.000)","5.000 (5.000, 5.000)","5.000 (5.000, 5.000)","5.000 (5.000, 5.000)","5.000 (5.000, 6.000)","5.000 (5.000, 6.000)","5.000 (5.000, 5.000)"
"S.1-Dimension(0.90)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)","6.000 (5.000, 6.000)","6.000 (6.000, 7.000)","6.000 (6.000, 6.000)","6.000 (6.000, 6.000)"
"S.1-Dimension(0.95)","7.000 (7.000, 7.000)","8.000 (7.000, 8.000)","7.000 (7.000, 7.000)","7.000 (7.000, 7.000)","7.000 (7.000, 7.000)","8.000 (8.000, 8.000)","8.000 (7.000, 8.000)","8.000 (7.000, 8.000)"
"S.1-Dimension(0.99)","9.000 (9.000, 9.000)","11.000 (11.000, 11.000)","9.000 (9.000, 9.000)","9.000 (9.000, 9.000)","9.000 (9.000, 9.000)","12.000 (11.000, 12.000)","11.000 (11.000, 12.000)","11.000 (11.000, 12.000)"
"S.2-rel. err.","0.351 (0.329, 0.382)","0.355 (0.333, 0.385)","0.696 (0.659, 0.745)","0.718 (0.670, 0.795)","0.753 (0.686, 0.916)","0.691 (0.652, 0.736)","0.708 (0.662, 0.783)","0.738 (0.682, 0.894)"
"S.2-Dimension(0.85)","3.000 (3.000, 4.000)","3.000 (3.000, 4.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)"
"S.2-Dimension(0.90)","4.000 (4.000, 4.000)","4.000 (4.000, 4.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)"
"S.2-Dimension(0.95)","4.000 (4.000, 4.000)","4.000 (4.000, 4.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)"
"S.2-Dimension(0.99)","4.000 (4.000, 4.000)","4.000 (4.000, 4.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)","2.000 (2.000, 2.000)"
